"Postinumeroalue","Asukkaat.yhteensä..2013..HE.","Naiset..2013..HE.","Miehet..2013..HE.","Asukkaiden.keski.ikä..2013..HE.","X0.2.vuotiaat..2013..HE.","X3.6.vuotiaat..2013..HE.","X7.12.vuotiaat..2013..HE.","X13.15.vuotiaat..2013..HE.","X16.17.vuotiaat..2013..HE.","X18.19.vuotiaat..2013..HE.","X20.24.vuotiaat..2013..HE.","X25.29.vuotiaat..2013..HE.","X30.34.vuotiaat..2013..HE.","X35.39.vuotiaat..2013..HE.","X40.44.vuotiaat..2013..HE.","X45.49.vuotiaat..2013..HE.","X50.54.vuotiaat..2013..HE.","X55.59.vuotiaat..2013..HE.","X60.64.vuotiaat..2013..HE.","X65.69.vuotiaat..2013..HE.","X70.74.vuotiaat..2013..HE.","X75.79.vuotiaat..2013..HE.","X80.84.vuotiaat..2013..HE.","X85.vuotta.täyttäneet..2013..HE.","X18.vuotta.täyttäneet.yhteensä..2012..KO.","Perusasteen.suorittaneet..2012..KO.","Koulutetut.yhteensä..2012..KO.","Ylioppilastutkinnon.suorittaneet..2012..KO.","Ammatillisen.tutkinnon.suorittaneet..2012..KO.","Alemman.korkeakoulututkinnon.suorittaneet..2012..KO.","Ylemmän.korkeakoulututkinnon.suorittaneet..2012..KO.","X18.vuotta.täyttäneet.yhteensä..2012..HR.","Asukkaiden.keskitulot..2012..HR.","Asukkaiden.mediaanitulot..2012..HR.","Alimpaan.tuloluokkaan.kuuluvat.asukkaat..2012..HR.","Keskimmäiseen.tuloluokkaan.kuuluvat.asukkaat..2012..HR.","Ylimpään.tuloluokkaan.kuuluvat.asukkaat..2012..HR.","Asukkaiden.ostovoimakertymä..2012..HR.","Taloudet.yhteensä..2013..TE.","Talouksien.keskikoko..2013..TE.","Asumisväljyys..2013..TE.","Nuorten.yksinasuvien.taloudet..2013..TE.","Lapsettomat.nuorten.parien.taloudet..2013..TE.","Lapsitaloudet..2013..TE.","Pienten.lasten.taloudet..2013..TE.","Alle.kouluikäisten.lasten.taloudet..2013..TE.","Kouluikäisten.lasten.taloudet..2013..TE.","Teini.ikäisten.lasten.taloudet..2013..TE.","Aikuisten.taloudet..2013..TE.","Eläkeläisten.taloudet..2013..TE.","Omistusasunnoissa.asuvat.taloudet..2013..TE.","Vuokra.asunnoissa.asuvat.taloudet..2013..TE.","Muissa.asunnoissa.asuvat.taloudet..2013..TE.","Taloudet.yhteensä..2012..TR.","Talouksien.keskitulot..2012..TR.","Talouksien.mediaanitulot..2012..TR.","Alimpaan.tuloluokkaan.kuuluvat.taloudet..2012..TR.","Keskimmäiseen.tuloluokkaan.kuuluvat.taloudet..2012..TR.","Ylimpään.tuloluokkaan.kuuluvat.taloudet..2012..TR.","Talouksien.ostovoimakertymä..2012..TR.","Kesämökit.yhteensä..2013..RA.","Rakennukset.yhteensä..2013..RA.","Muut.rakennukset.yhteensä..2013..RA.","Asuinrakennukset.yhteensä..2013..RA.","Asunnot..2013..RA.","Asuntojen.keskipinta.ala..2013..RA.","Pientaloasunnot..2013..RA.","Kerrostaloasunnot..2013..RA.","Työpaikat.yhteensä..2012..TP.","Alkutuotannon.työpaikat..2012..TP.","Jalostuksen.työpaikat..2012..TP.","Palveluiden.työpaikat..2012..TP.","A.Maatalous..metsätalous.ja.kalatalous..2012..TP.","B.Kaivostoiminta.ja.louhinta..2012..TP.","C.Teollisuus..2012..TP.","D.Sähkö...kaasu..ja.lämpöhuolto..jäähdytysliiketoiminta..2012..TP.","E.Vesihuolto..viemäri..ja.jätevesihuolto.ja.muu.ympäristön.puhtaanapito..2012..TP.","F.Rakentaminen..2012..TP.","G.Tukku..ja.vähittäiskauppa..moottoriajoneuvojen.ja.moottoripyörien.korjaus..2012..TP.","H.Kuljetus.ja.varastointi..2012..TP.","I.Majoitus..ja.ravitsemistoiminta..2012..TP.","J.Informaatio.ja.viestintä..2012..TP.","K.Rahoitus..ja.vakuutustoiminta..2012..TP.","L.Kiinteistöalan.toiminta..2012..TP.","M.Ammatillinen..tieteellinen.ja.tekninen.toiminta..2012..TP.","N.Hallinto..ja.tukipalvelutoiminta..2012..TP.","O.Julkinen.hallinto.ja.maanpuolustus..pakollinen.sosiaalivakuutus..2012..TP.","P.Koulutus..2012..TP.","Q.Terveys..ja.sosiaalipalvelut..2012..TP.","R.Taiteet..viihde.ja.virkistys..2012..TP.","S.Muu.palvelutoiminta..2012..TP.","T.Kotitalouksien.toiminta.työnantajina..kotitalouksien.eriyttämätön.toiminta.tavaroiden.ja.palveluiden.tuottamiseksi.omaan.käyttöön..2012..TP.","U.Kansainvälisten.organisaatioiden.ja.toimielinten.toiminta..2012..TP.","X.Toimiala.tuntematon..2012..TP.","Asukkaat.yhteensä..2012..PT.","Työvoima..2012..PT.","Työlliset..2012..PT.","Työttömät..2012..PT.","Työvoiman.ulkopuolella.olevat..2012..PT.","Lapset.0.14..vuotiaat..2012..PT.","Opiskelijat..2012..PT.","Eläkeläiset..2012..PT.","Muut..2012..PT.","zip","pa","kaupunki","maa","zippa","lat","lon"
"00100 Helsinki Keskusta  (Helsinki)",17402,9144,8258,40,475,498,532,221,147,260,1687,2487,1990,1443,1028,973,955,844,850,1092,710,464,341,405,15521,2304,13217,2972,2800,2516,4929,15521,31536,24608,3084,6623,5814,4.89468e+08,9800,1.7,39.1,2011,895,1160,418,700,404,295,6367,2309,4579,4830,391,9765,49839,35825,1836,4032,3897,4.8668e+08,0,623,319,304,11395,66.2,2,11393,46945,128,1289,45527,128,1,210,771,0,307,8002,1480,4493,4915,4546,687,6545,1701,3263,2878,2611,1760,2434,0,212,1,17308,10303,9780,523,7005,1550,1222,3251,982,100,"Helsinki Keskusta","Helsinki","finland","00100 Helsinki finland",60.1665,24.9427
"00120 Punavuori  (Helsinki)",6795,3565,3230,40,188,222,227,98,65,97,557,886,781,610,446,417,381,371,369,399,297,172,105,107,5904,864,5040,1182,1146,859,1853,5904,35038,25712,1142,2420,2342,2.06862e+08,3838,1.8,40.2,723,316,518,176,303,180,130,2515,826,1944,1730,164,3790,54641,37216,684,1510,1596,2.0709e+08,0,248,103,145,4247,69.3,8,4239,9854,7,263,9584,7,4,137,12,4,106,1055,197,783,1088,787,227,1547,277,1040,414,633,226,1310,0,0,0,6681,4054,3833,221,2627,681,400,1156,390,120,"Punavuori","Helsinki","finland","00120 Helsinki finland",60.1637,24.9387
"00130 Kaartinkaupunki  (Helsinki)",1457,734,723,41,36,40,59,25,23,26,88,178,132,140,117,103,85,81,97,101,58,42,16,10,1307,192,1115,248,235,185,447,1307,46132,26995,281,458,568,6.0294e+07,789,1.8,44.4,126,64,114,31,52,45,37,506,172,414,338,37,798,75405,40654,131,278,389,6.01735e+07,0,142,109,33,846,76.2,0,846,11413,16,884,10513,16,4,672,3,1,204,774,512,733,651,845,213,1808,291,2078,146,1116,420,926,0,0,0,1502,873,841,32,629,167,109,246,107,130,"Kaartinkaupunki","Helsinki","finland","00130 Helsinki finland",60.1654,24.9476
"00140 Kaivopuisto  (Helsinki)",7707,4144,3563,41,194,251,329,145,99,108,541,885,842,660,500,509,468,409,423,497,334,216,130,167,6713,965,5748,1266,1251,1006,2225,6713,47176,26483,1272,2613,2828,3.16691e+08,4363,1.8,42.3,799,345,641,178,339,260,196,2698,1040,2159,1974,230,4354,73024,38378,801,1645,1908,3.17948e+08,0,242,74,168,5269,73.9,15,5254,2354,13,145,2196,13,0,36,0,0,109,242,155,238,273,14,87,351,90,86,29,254,100,276,1,0,0,7746,4421,4224,197,3325,895,516,1414,500,140,"Kaivopuisto","Helsinki","finland","00140 Helsinki finland",60.1526,24.9516
"00150 Eira  (Helsinki)",9277,4932,4345,39,258,286,259,123,72,126,818,1351,1198,916,596,544,520,455,458,487,346,196,122,146,8299,1303,6996,1570,1609,1341,2476,8299,35130,24238,1595,3771,2933,2.91541e+08,5671,1.6,34.5,1473,466,652,234,399,205,155,4021,1011,2833,2574,264,5689,50770,31543,1171,2507,2011,2.88832e+08,2,373,109,264,6695,55.3,32,6663,5250,11,728,4511,11,0,605,0,0,123,381,94,202,1217,26,110,1254,133,0,210,630,94,155,5,0,0,9300,5834,5502,332,3466,873,568,1434,591,150,"Eira","Helsinki","finland","00150 Helsinki finland",60.1576,24.9373
"00160 Katajanokka  (Helsinki)",4469,2404,2065,43,124,180,233,109,64,78,241,308,337,332,288,296,272,303,362,382,261,119,74,106,3808,680,3128,587,837,546,1158,3808,35506,25705,635,1695,1478,1.35207e+08,2314,1.9,40.6,169,130,419,108,218,175,126,1184,721,1178,1058,78,2325,58218,40203,333,1060,932,1.35356e+08,0,138,61,77,2617,77,3,2614,5279,6,426,4847,6,0,321,0,0,105,630,414,297,96,29,21,449,182,2131,44,76,10,468,0,0,0,4507,2344,2221,123,2163,597,306,1018,242,160,"Katajanokka","Helsinki","finland","00160 Helsinki finland",60.1669,24.9665
"00170 Kruununhaka  (Helsinki)",7219,3891,3328,40,218,226,290,124,92,126,489,832,818,635,463,472,455,430,379,430,282,184,139,135,6182,765,5417,1111,1187,963,2156,6182,33507,26052,1122,2551,2509,2.07141e+08,3961,1.8,38.5,677,294,616,199,341,231,170,2467,900,2028,1767,166,3898,53280,39070,659,1589,1650,2.07684e+08,0,258,124,134,4493,68.1,9,4484,8261,4,132,8124,4,0,26,0,0,106,281,40,433,120,621,56,435,113,2798,1766,284,564,613,0,0,1,7123,4277,4071,206,2846,801,519,1237,289,170,"Kruununhaka","Helsinki","finland","00170 Helsinki finland",60.1727,24.9558
"00180 Ruoholahti  (Helsinki)",12495,6570,5925,39,336,387,501,256,205,256,1057,1510,1461,1157,796,837,827,670,652,623,373,262,174,155,10497,2078,8419,1784,2601,1656,2378,10497,27099,23922,1930,5126,3441,2.84463e+08,6984,1.8,33.8,1247,621,1044,310,537,384,354,4669,1291,2826,3894,264,6853,41494,33155,1274,3378,2201,2.8436e+08,0,324,143,181,7947,59,66,7881,20140,4,1862,18274,4,0,727,231,29,875,1314,768,661,3440,1157,93,4090,746,2484,950,1177,443,951,0,0,0,12149,7308,6861,447,4841,1325,945,1936,635,180,"Ruoholahti","Helsinki","finland","00180 Helsinki finland",60.1638,24.9178
"00190 Suomenlinna  (Helsinki)",788,388,400,37,26,44,70,27,31,25,31,25,49,73,48,103,70,49,36,41,16,12,7,5,570,113,457,66,195,50,146,570,24494,23613,106,295,169,1.39618e+07,322,2.4,30.4,10,12,112,22,48,53,42,152,62,13,296,13,313,44382,38791,40,185,88,1.38916e+07,0,114,58,56,363,69.4,54,309,459,0,14,445,0,0,13,0,0,1,29,0,58,3,0,0,27,87,134,29,23,29,11,0,15,0,756,401,387,14,355,142,80,99,34,190,"Suomenlinna","Helsinki","finland","00190 Helsinki finland",60.1444,24.9815
"00200 Lauttasaari  (Helsinki)",14814,8113,6701,40,575,572,630,247,173,240,1029,1648,1707,1407,957,866,745,720,734,854,580,346,332,452,12475,1910,10565,2053,2758,2044,3710,12475,30229,25119,2005,5859,4611,3.77101e+08,8349,1.8,34.2,1467,720,1365,526,832,484,338,4994,2018,4725,3309,315,8300,45393,33814,1474,3868,2958,3.76761e+08,5,581,51,530,9080,60.1,489,8591,2437,2,195,2240,2,0,36,0,0,159,514,173,75,54,28,66,348,103,15,170,391,183,120,0,0,0,14607,8420,8001,419,6187,1873,940,2791,583,200,"Lauttasaari","Helsinki","finland","00200 Helsinki finland",60.1601,24.8842
"00210 Vattuniemi  (Helsinki)",7119,3844,3275,42,300,319,346,122,74,91,240,574,686,643,456,471,397,415,464,605,347,231,192,146,5707,855,4852,677,1418,910,1847,5707,35971,28354,679,2479,2549,2.05284e+08,3759,1.9,37.6,354,269,732,267,446,265,159,1913,1127,2547,1094,118,3617,56911,43834,386,1531,1700,2.05849e+08,0,228,97,131,4072,70.7,41,4031,4535,4,319,4211,4,0,224,0,4,91,1234,93,65,1055,83,54,1247,145,0,7,107,64,57,0,0,1,6798,3700,3527,173,3098,975,287,1579,257,210,"Vattuniemi","Helsinki","finland","00210 Helsinki finland",60.1514,24.8823
"00220 Jätkäsaari  (Helsinki)",1642,866,776,30,74,60,42,13,21,46,453,308,177,86,42,41,48,67,78,57,18,6,5,0,584,78,506,290,128,62,26,584,14223,12107,293,256,35,8.30636e+06,904,1.8,29.4,276,166,141,69,99,33,25,695,70,119,773,12,377,22110,18314,199,154,24,8.33542e+06,0,31,19,12,973,54.1,0,973,702,0,6,696,0,0,6,0,0,0,12,633,28,6,0,0,7,3,0,0,0,7,0,0,0,0,602,333,316,17,269,6,199,48,16,220,"Jätkäsaari","Helsinki","finland","00220 Helsinki finland",60.1578,24.9207
"00230 Ilmala  (Helsinki)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,0,0,2679,0,0,2679,0,0,0,0,0,0,0,2401,16,200,28,32,1,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,"Ilmala","Helsinki","finland","00230 Helsinki finland",60.1666,24.9435
"00240 Länsi-Pasila  (Helsinki)",5175,2840,2335,42,154,162,184,98,72,100,486,472,525,326,235,284,350,356,405,416,197,180,93,80,4270,940,3330,603,1388,601,738,4270,23335,21517,773,2550,947,9.96419e+07,2774,1.9,34,217,211,427,146,236,135,131,1594,756,1201,1545,28,2634,37706,31522,516,1496,622,9.93176e+07,0,198,85,113,2890,63.2,21,2869,12673,34,453,12186,34,0,69,98,124,162,334,1176,446,4549,691,193,733,693,2036,52,495,555,233,0,0,0,4898,2663,2465,198,2235,519,412,1110,194,240,"Länsi-Pasila","Helsinki","finland","00240 Helsinki finland",60.2001,24.9232
"00250 Taka-Töölö  (Helsinki)",10931,5999,4932,40,289,286,273,138,95,139,1161,1702,1412,973,597,571,520,531,516,583,415,275,212,243,9821,1391,8430,1868,2142,1710,2710,9821,27626,23645,1783,4946,3092,2.71311e+08,6716,1.6,34.2,1652,658,706,263,431,217,184,4639,1382,3110,3328,278,6729,40206,30112,1329,3326,2074,2.70544e+08,0,414,131,283,7598,54,59,7539,8265,23,121,8121,23,0,20,3,1,97,295,183,384,214,65,153,611,202,551,576,3784,708,394,1,0,0,10868,6802,6458,344,4066,911,727,1956,472,250,"Taka-Töölö","Helsinki","finland","00250 Helsinki finland",60.1869,24.9151
"00260 Keski-Töölö  (Helsinki)",5387,2948,2439,44,142,146,135,57,31,62,474,642,530,444,294,320,303,264,320,397,284,174,168,200,4924,827,4097,825,1009,805,1458,4924,32454,24588,854,2284,1786,1.59805e+08,3067,1.7,39,533,215,331,126,210,107,70,1859,888,1481,1475,111,3095,50368,34529,554,1319,1222,1.55889e+08,0,135,43,92,3627,62.9,0,3627,7544,5,36,7503,5,0,9,0,0,27,202,123,512,38,33,53,1062,47,0,561,3832,756,279,0,5,0,5415,3030,2891,139,2385,437,291,1355,302,260,"Keski-Töölö","Helsinki","finland","00260 Helsinki finland",60.1799,24.9238
"00270 Pohjois-Meilahti  (Helsinki)",7546,4284,3262,38,209,260,337,180,111,149,711,973,811,604,482,458,442,419,347,373,248,161,139,132,6460,1108,5352,1135,1575,1003,1639,6460,26109,23004,1122,3458,1880,1.68665e+08,4425,1.7,31.6,954,364,646,188,342,263,221,2902,884,1870,2430,125,4469,37786,28917,952,2350,1167,1.68864e+08,0,194,27,167,4847,53,68,4779,2668,4,911,1753,4,0,13,0,0,898,179,14,91,45,0,31,341,307,0,229,355,92,69,0,0,0,7575,4499,4206,293,3076,921,584,1269,302,270,"Pohjois-Meilahti","Helsinki","finland","00270 Helsinki finland",60.1921,24.9097
"00280 Ruskeasuo  (Helsinki)",2803,1610,1193,40,79,84,93,53,28,39,402,359,268,210,144,175,159,121,102,120,106,61,86,114,2442,377,2065,531,543,397,594,2442,24596,22227,524,1232,686,6.00645e+07,1550,1.7,32.3,258,160,217,72,126,78,58,941,397,800,708,42,1539,37428,29062,320,803,416,5.76016e+07,0,135,27,108,1661,54.7,36,1625,3591,1,1497,2093,1,0,80,0,0,1417,96,15,126,247,28,61,183,37,9,648,574,47,22,0,0,0,2792,1562,1501,61,1230,304,302,538,86,280,"Ruskeasuo","Helsinki","finland","00280 Helsinki finland",60.2068,24.9021
"00290 Meilahden sairaala-alue  (Helsinki)",157,92,65,44,5,4,0,0,1,3,7,23,12,12,10,8,23,11,13,17,5,1,2,0,151,18,133,13,52,31,37,151,37587,25789,19,79,53,5.67557e+06,104,1.5,42.9,11,9,8,4,7,0,1,77,19,37,67,0,104,54574,35004,10,50,44,5.67566e+06,0,32,27,5,113,66.1,0,113,11053,0,319,10734,0,0,10,0,0,309,132,0,128,22,3,0,390,36,15,1011,8922,67,8,0,0,0,161,110,104,6,51,8,5,26,12,290,"Meilahden sairaala-alue","Helsinki","finland","00290 Helsinki finland",60.1896,24.908
"00300 Pikku Huopalahti  (Helsinki)",5725,3114,2611,40,226,247,341,177,107,124,352,465,477,392,335,433,425,412,320,323,183,121,112,153,4669,1049,3620,624,1462,621,913,4669,25389,22966,780,2624,1265,1.18543e+08,2918,1.9,32.3,257,186,652,201,340,255,226,1602,676,997,1883,38,2913,39764,33197,499,1680,734,1.15834e+08,0,224,61,163,3104,61.7,61,3043,4641,0,112,4529,0,0,30,0,0,82,147,92,101,530,750,225,1100,47,184,340,946,25,42,0,0,0,5742,3073,2808,265,2669,915,425,1081,248,300,"Pikku Huopalahti","Helsinki","finland","00300 Helsinki finland",60.2037,24.8956
"00310 Kivihaka  (Helsinki)",887,491,396,41,32,32,19,14,11,17,69,91,108,75,50,44,62,62,54,51,26,22,20,28,776,149,627,115,238,134,140,776,24468,22883,115,454,207,1.89873e+07,556,1.6,32.4,112,32,70,29,47,15,19,367,121,321,223,12,554,34316,27798,113,297,144,1.90109e+07,0,35,11,24,604,50.9,13,591,1634,0,280,1354,0,0,5,0,0,275,16,702,12,1,0,23,32,39,18,0,496,12,3,0,0,0,881,536,497,39,345,90,55,167,33,310,"Kivihaka","Helsinki","finland","00310 Helsinki finland",NA,NA
"00320 Etelä-Haaga  (Helsinki)",9460,5312,4148,40,271,273,303,118,89,151,1098,1284,1056,749,520,496,452,520,426,471,334,258,255,336,8293,1473,6820,1371,2057,1444,1948,8293,24851,22367,1437,4566,2290,2.06091e+08,5905,1.6,32.2,1625,454,675,246,408,233,159,4065,1180,2907,2833,165,5863,34328,27400,1324,3127,1412,2.01267e+08,0,394,56,338,6436,49.6,163,6273,2011,2,350,1659,2,0,20,0,2,328,273,14,78,32,0,54,84,76,75,417,461,20,75,0,0,0,9220,5611,5282,329,3609,808,631,1851,319,320,"Etelä-Haaga","Helsinki","finland","00320 Helsinki finland",60.2162,24.8946
"00330 Munkkiniemi  (Helsinki)",8469,4828,3641,44,215,322,451,221,181,154,464,697,636,540,490,503,536,449,448,559,416,379,299,509,7111,1146,5965,1059,1640,1026,2240,7111,34695,25657,1102,3255,2754,2.46714e+08,4620,1.8,39.5,589,251,820,196,397,349,296,2172,1657,2382,2063,175,4661,52761,35512,756,2100,1805,2.45918e+08,0,380,51,329,5161,70.8,226,4935,3101,7,30,3064,7,0,9,0,0,21,731,55,187,601,30,25,267,39,80,230,607,36,176,0,0,0,8470,4152,3941,211,4318,1104,613,2286,315,330,"Munkkiniemi","Helsinki","finland","00330 Helsinki finland",60.1934,24.8795
"00340 Kuusisaari-Lehtisaari  (Helsinki)",1663,838,825,41,51,76,121,70,71,62,65,52,59,106,113,128,164,113,104,100,71,59,39,39,1284,177,1107,182,270,150,505,1284,71427,31100,248,376,660,9.17126e+07,708,2.3,52.9,36,16,203,44,83,90,96,278,233,521,155,32,708,129917,63601,73,213,422,9.19811e+07,1,219,20,199,849,122.4,390,459,269,3,29,237,3,0,0,0,0,29,12,12,6,62,8,12,43,0,0,0,59,20,3,0,0,0,1693,765,744,21,928,305,169,327,127,340,"Kuusisaari-Lehtisaari","Helsinki","finland","00340 Helsinki finland",60.186,24.867
"00350 Munkkivuori-Niemenmäki  (Helsinki)",9095,5046,4049,40,280,332,445,197,127,208,845,896,829,699,526,648,583,515,457,480,320,221,243,244,7525,1372,6153,1262,2111,1143,1637,7525,25236,22824,1414,3990,2121,1.89904e+08,5271,1.7,32.1,971,320,867,253,452,356,268,3218,1195,2458,2644,169,5122,37000,29216,1072,2796,1254,1.89516e+08,0,266,64,202,5649,55,141,5508,1789,4,45,1739,4,0,7,0,0,38,679,42,66,141,31,64,79,40,0,181,330,30,56,0,0,1,8857,4917,4619,298,3940,1127,735,1770,308,350,"Munkkivuori-Niemenmäki","Helsinki","finland","00350 Helsinki finland",60.2057,24.8686
"00360 Pajamäki  (Helsinki)",1820,1008,812,43,56,52,58,19,24,43,146,155,215,139,100,109,132,116,116,98,58,57,61,66,1644,340,1304,221,533,239,311,1644,23048,21904,262,980,402,3.78914e+07,1131,1.6,31.5,205,77,140,51,83,45,36,718,274,678,436,17,1156,32830,28138,240,681,235,3.79509e+07,3,37,7,30,1229,49.9,0,1229,86,0,18,68,0,0,1,0,0,17,17,3,6,9,1,4,22,0,0,1,2,1,2,0,0,0,1862,1080,1001,79,782,180,124,408,70,360,"Pajamäki","Helsinki","finland","00360 Helsinki finland",60.2186,24.8556
"00370 Reimarla  (Helsinki)",6348,3350,2998,39,235,302,387,175,118,117,510,539,538,486,349,401,371,378,358,349,253,203,136,143,5181,1322,3859,683,1618,670,888,5181,25322,22567,903,2836,1442,1.31194e+08,3125,2,33.6,329,201,683,208,390,287,217,1618,833,1354,1667,104,3147,41466,33194,576,1756,815,1.30495e+08,0,769,141,628,3371,67,866,2505,4761,0,1984,2777,0,0,1564,0,0,420,701,98,319,574,77,20,199,162,0,85,418,82,42,0,0,0,6414,3399,3165,234,3015,1045,465,1241,264,370,"Reimarla","Helsinki","finland","00370 Helsinki finland",60.1666,24.9435
"00380 Pitäjänmäen teollisuusalue  (Helsinki)",4333,2202,2131,38,174,182,217,109,104,79,276,432,428,345,287,352,309,311,254,224,92,94,44,20,3369,842,2527,387,1112,477,551,3369,25092,23137,469,1993,907,8.4535e+07,2310,1.9,32.1,219,215,461,154,266,167,156,1467,386,582,1692,36,2178,38781,32989,430,1182,566,8.44656e+07,0,170,107,63,2409,59.6,13,2396,16021,5,3755,12261,5,0,3555,0,0,200,2336,50,208,4530,576,327,788,1527,595,513,400,121,290,0,0,0,4132,2368,2197,171,1764,637,293,645,189,380,"Pitäjänmäen teollisuusalue","Helsinki","finland","00380 Helsinki finland",60.2178,24.8763
"00390 Konala  (Helsinki)",6269,3197,3072,38,249,258,325,162,109,150,483,634,587,449,393,457,400,438,376,313,197,141,76,72,4946,1316,3630,591,1759,644,636,4946,24698,22849,789,2837,1320,1.22154e+08,3259,1.9,33,499,233,667,221,369,250,209,1983,620,1727,1420,112,3124,39134,31895,585,1783,756,1.22253e+08,0,740,139,601,3470,63.2,854,2616,5079,0,780,4299,0,0,259,0,8,513,1894,962,63,674,68,15,234,70,0,31,160,52,76,0,0,0,5977,3464,3239,225,2513,867,410,988,248,390,"Konala","Helsinki","finland","00390 Helsinki finland",60.2401,24.8463
"00400 Pohjois-Haaga  (Helsinki)",9273,5080,4193,42,274,293,313,173,123,172,845,1030,972,719,513,484,475,493,497,517,380,310,316,374,8069,2342,5727,1035,2346,1041,1305,8069,21583,20038,1638,4828,1603,1.74149e+08,5336,1.7,31,825,362,729,241,414,234,226,3129,1488,2322,2905,109,5327,32141,26551,1344,3041,942,1.71217e+08,0,220,29,191,5631,52.8,69,5562,2503,0,519,1984,0,0,16,0,7,496,151,208,62,159,13,64,195,58,0,313,585,58,118,0,0,0,9197,4796,4395,401,4401,943,724,2230,504,400,"Pohjois-Haaga","Helsinki","finland","00400 Helsinki finland",60.2267,24.8976
"00410 Malminkartano  (Helsinki)",8495,4437,4058,36,283,373,468,255,201,263,1001,903,691,565,478,585,554,611,517,397,176,101,50,23,6979,2071,4908,1063,2437,735,673,6979,20222,19525,1741,4126,1112,1.41129e+08,4059,2.1,30.7,352,377,933,252,458,362,346,2532,601,1473,2538,48,4093,34356,29523,1042,2429,622,1.40618e+08,0,355,72,283,4084,64.2,341,3743,1489,1,245,1243,1,0,90,0,0,155,163,25,46,28,2,32,150,95,0,303,351,14,34,0,0,0,8574,4775,4349,426,3799,1311,967,1059,462,410,"Malminkartano","Helsinki","finland","00410 Helsinki finland",60.253,24.8491
"00420 Kannelmäki  (Helsinki)",13723,7336,6387,41,398,490,616,357,256,319,1347,1238,1069,921,708,870,868,898,937,883,574,407,297,270,11548,3756,7792,1445,3959,1245,1143,11548,21163,19744,2440,7104,2004,2.44393e+08,7460,1.8,32.8,900,423,1260,350,616,478,460,4333,1891,3224,4012,224,7430,32809,27026,1828,4492,1110,2.43774e+08,0,698,62,636,7906,59.5,885,7021,3092,0,252,2840,0,0,113,0,0,139,375,93,257,52,33,88,157,607,0,156,747,51,224,0,0,0,13639,7046,6402,644,6593,1705,1129,2939,820,420,"Kannelmäki","Helsinki","finland","00420 Helsinki finland",60.2483,24.8751
"00430 Maununneva  (Helsinki)",4758,2424,2334,39,153,233,367,218,137,129,277,204,241,292,328,405,362,391,389,330,135,80,56,31,3653,722,2931,466,1253,450,762,3653,29495,26450,602,1609,1442,1.07747e+08,1894,2.5,36.4,66,90,624,136,270,285,267,836,449,1373,472,49,1891,57208,52781,227,866,798,1.08181e+08,0,1207,57,1150,1978,91.4,1616,362,883,0,332,551,0,0,224,0,40,68,87,96,10,27,1,5,119,9,0,103,74,8,12,0,0,0,4751,2492,2362,130,2259,897,449,751,162,430,"Maununneva","Helsinki","finland","00430 Helsinki finland",60.2428,24.8945
"00440 Lassila  (Helsinki)",4494,2505,1989,44,143,136,168,63,62,84,397,469,389,255,170,212,243,291,341,330,186,174,150,231,3911,1098,2813,482,1210,515,606,3911,22581,20667,711,2333,867,8.8314e+07,2478,1.7,33.4,276,169,346,131,200,119,100,1351,783,1357,1049,72,2462,34587,28222,598,1338,526,8.51531e+07,0,203,43,160,2593,57.7,71,2522,4921,0,821,4100,0,0,143,0,2,676,413,8,66,1454,683,70,281,198,4,39,842,17,25,0,0,0,4490,2218,2049,169,2272,481,339,1272,180,440,"Lassila","Helsinki","finland","00440 Helsinki finland",60.2314,24.8786
"00500 Sörnäinen  (Helsinki)",12393,6251,6142,37,210,133,132,48,55,164,1645,2484,2126,1243,679,690,579,542,488,447,253,178,157,140,11842,2360,9482,2468,3115,2027,1872,11842,21314,19752,2470,7153,2219,2.52399e+08,8842,1.4,28.6,3039,858,419,196,280,103,69,7421,1007,3384,5185,273,8905,28166,23793,2676,4716,1513,2.50818e+08,0,227,62,165,9690,39.3,0,9690,7847,1,269,7577,1,0,104,0,0,165,434,311,620,597,2388,44,250,265,993,129,788,194,564,0,0,0,12401,8849,8040,809,3552,494,845,1573,640,500,"Sörnäinen","Helsinki","finland","00500 Helsinki finland",60.1875,24.961
"00510 Etu-Vallila  (Helsinki)",8737,4472,4265,39,201,146,122,29,48,94,988,1455,1488,910,447,478,431,428,412,393,233,171,144,119,7948,1731,6217,1419,2210,1356,1232,7948,21485,19955,1588,4893,1467,1.70762e+08,6074,1.4,28.4,1882,578,389,180,267,94,58,4797,892,2534,3366,174,5964,28296,24339,1711,3253,1000,1.68757e+08,0,365,152,213,6468,39.8,64,6404,13290,2,1180,12108,2,0,1018,0,0,162,2423,304,394,2152,3342,138,1009,410,218,600,599,320,197,2,0,0,8433,5686,5162,524,2747,422,547,1352,426,510,"Etu-Vallila","Helsinki","finland","00510 Helsinki finland",60.1905,24.9525
